# ----------------------------------------
# All Web Site Data
# Traffic by Individual Pages
# 20220801-20220831
# ----------------------------------------

Page,Users,Sessions,Pageviews
/,719,"1,300","2,556"
/docs/widgets,273,358,779
/docs/product-information,237,260,647
/docs/track-your-prospects,219,426,813
/docs/g2-badges,176,207,522
/docs/leads,170,211,487
/docs/get-started-with-g2,165,273,903
/g2/docs/chili-piper,161,253,454
/docs/about-g2-integrations,154,318,"1,205"
/docs/review-campaigns,130,127,264
/docs/basics-of-the-g2-hubspot-integration,108,130,570
/docs/campaign-dashboard,95,109,239
/docs/g2-hubspot-implementation,91,132,284
/docs/basics-of-the-g2-crm-connector-for-salesforce,87,56,550
/docs/g2-buyer-intent-linkedin-audience-segments,82,91,206
/docs/chili-piper,75,70,248
/docs/reference-pages,74,90,382
/docs/g2-salesforce-connector-implementation,73,80,208
/docs/mapping-g2-buyer-intent-data-to-salesforce-accounts-and-leads,73,62,247
/docs/basics-of-the-g2-pendo-integration,67,70,245
/docs/buyer-intent,66,47,159
/docs/basics-of-the-g2-linkedin-matched-audiences-integration,61,44,255
/docs/custom-questions,61,95,218
/docs/basics-of-in-app-review-prompts,59,63,200
/docs/features,58,66,138
/docs/discussions,57,68,134
/docs/g2-linkedin-ma-implementation,55,56,132
/docs/g2-pendo-implementation,55,87,203
/docs/g2-6sense-implementation,54,49,192
/docs/g2-marketo-implementation,53,77,190
/docs/crowd-quotes,50,59,144
/docs/implementation-in-app-g2-review,49,69,159
/docs/basics-of-the-g2-marketo-integration,44,41,210
/docs/hubspot-webhook,44,43,124
/g2/docs/zoominfo,43,66,103
/docs/g2-buyer-intent-data-hubspot,41,42,91
/g2/docs/g2-marketo-implementation,38,39,137
/docs/four-pre-built-salesforce-reports,35,42,107
/g2/docs/hubspot-webhook,35,20,86
/docs/linkedin-sales-navigator,34,37,107
/docs/packages-pricing,34,37,92
/docs/what-is-covered-in-this-integration-guide-and-what-is-not-1,32,28,192
/docs/g2-buyer-intent-data-demandbase,31,43,90
/docs/build-6sense-segments-using-g2-buyer-intent,30,33,70
/g2/docs/g2-salesforce-connector-implementation,29,18,77
/g2/docs/salesforce-crm-webhook,29,18,75
/docs/downloads,28,29,56
/docs/g2-buyer-intent-salesforce-tab,28,25,71
/docs/create-hubspot-workflows-with-g2-data,26,39,107
/docs/understanding-example-notifications,25,23,56
/docs/slack,23,15,39
/docs/salesforce-crm-webhook,22,14,60
/docs/screenshots,21,20,41
/docs/delighted,20,18,91
/docs/example-list-6-companies-researching-your-product-category-recently,20,3,58
/docs/buyer-engagement-score,19,40,95
/docs/chili-piper#utm_medium=video&utm_campaign=chili+piper,19,15,35
/docs/g2-demandbase-implementation,19,18,75
/docs/prompt-guidelines,19,14,79
/docs/release-notes,19,36,67
/docs/videos,19,19,36
/g2/docs/leads,19,8,34
/docs/basics-of-in-app-review-prompts-1,18,14,42
/docs/zoominfo,18,13,49
/docs/g2-buyer-intent-data-and-6sense,17,8,57
/docs/review-activity,17,8,36
/docs/example-task-assign-a-task-to-salesforce-account-owners-for-newly-mapped-accounts,16,17,31
/docs/g2-leads-webhooks,16,19,32
/docs/g2-visualforce-page,16,9,67
/docs/overview-g2-hubspot-lists,16,16,42
/docs,15,20,62
/docs/g2-custom-report-types,15,12,40
/docs/whats-covered-in-this-integration-guide-and-whats-not-1,15,11,36
/g2/en,15,63,108
/g2/docs/g2-buyer-intent-data-hubspot,14,3,28
/g2/docs/implementation-in-app-g2-review,14,9,51
/g2/docs/g2-hubspot-implementation,13,9,34
/docs/basics-of-the-g2-medallia-integration,12,5,62
/docs/g2-reviews,12,5,20
/docs/g2-salesforce-tabs,12,5,86
/docs/insert-a-g2-star-rating-widget-in-a-hubspot-website-page-or-landing-page,12,12,20
/g2/docs/g2-custom-objects-and-fields,12,0,38
/docs/canva,11,9,23
/docs/g2-api-information,11,11,30
/docs/g2-custom-objects-and-fields,11,6,44
/g2/docs/g2-6sense-implementation,11,15,43
/g2/docs/g2-leads-webhooks,11,4,18
/docs/g2-bombora-integration,10,7,17
/docs/g2-buyer-intent-data-marketo,10,5,27
/docs/use-g2-built-audience-segments-in-linkedin-campaigns,10,10,18
/g2/docs/example-notification-1-send-email-to-salesforce-account-owners-when-products-are-being-compared,10,3,26
/docs/adding-g2-data-to-salesforce-page-layouts,9,8,39
/docs/example-list-7-associated-companies-with-several-recent-g2-buyer-intent-signals,9,11,24
/docs/how-g2-buyer-intent-data-auto-maps-to-6sense,9,12,26
/docs/insert-a-g2-star-rating-widget-in-a-hubspot-email,9,10,23
/docs/references-from-reviews,9,9,20
/g2/docs/basics-of-the-g2-crm-connector-for-salesforce,9,1,15
/g2/docs/delighted,9,9,19
/docs/overview-6,8,3,19
/docs/rollworks,8,2,8
/docs/build-custom-salesforce-reports-with-g2-data,7,8,22
/docs/create-salesforce-dashboards,7,4,12
