# ----------------------------------------
# All Web Site Data
# Traffic by Individual Pages
# 20220901-20220930
# ----------------------------------------

Page,Users,Sessions,Pageviews
/,363,786,"1,474"
/docs/g2-badges,294,346,730
/docs/zoominfo,226,290,653
/docs/product-information,208,233,547
/docs/track-your-prospects,206,416,814
/docs/widgets,205,240,526
/g2/docs/zoominfo,136,240,407
/docs/about-g2-integrations,133,300,"1,105"
/docs/leads,126,165,327
/docs/buyer-intent,114,154,346
/docs/get-started-with-g2,114,137,352
/docs/basics-of-the-g2-hubspot-integration,93,91,409
/docs/chili-piper,87,70,207
/g2/docs/chili-piper,87,150,257
/docs/basics-of-the-g2-crm-connector-for-salesforce,81,55,454
/docs/review-campaigns,81,87,218
/docs/reference-pages,72,87,165
/docs/basics-of-the-g2-linkedin-matched-audiences-integration,71,55,277
/docs/g2-hubspot-implementation,68,86,192
/docs/basics-of-the-g2-pendo-integration,64,66,185
/docs/g2-marketo-implementation,62,71,180
/docs/g2-buyer-intent-linkedin-audience-segments,60,72,152
/docs/g2-salesforce-connector-implementation,59,80,209
/docs/campaign-dashboard,55,55,152
/docs/crowd-quotes,55,66,123
/docs/implementation-in-app-g2-review,52,56,142
/docs/mapping-g2-buyer-intent-data-to-salesforce-accounts-and-leads,52,47,187
/docs/g2-pendo-implementation,50,65,140
/docs/basics-of-the-g2-marketo-integration,49,36,161
/docs/features,47,56,115
/docs/hubspot-webhook,41,37,73
/docs/basics-of-in-app-review-prompts,40,44,188
/docs/g2-linkedin-ma-implementation,39,51,106
/docs/custom-questions,38,56,142
/docs/g2-6sense-implementation,38,30,109
/docs/discussions,34,44,80
/docs/packages-pricing,33,29,59
/docs/g2-buyer-intent-data-hubspot,31,34,79
/docs/notifications,30,39,82
/g2/docs/g2-marketo-implementation,30,26,74
/docs/four-pre-built-salesforce-reports,29,38,75
/docs/linkedin-sales-navigator,29,34,99
/docs/g2-buyer-intent-data-demandbase,28,25,64
/docs/g2-demandbase-implementation,23,15,76
/docs/screenshots,23,24,47
/docs/downloads,22,21,46
/docs,21,23,60
/docs/review-activity,21,11,49
/g2/docs/g2-salesforce-connector-implementation,21,25,86
/docs/basics-of-in-app-review-prompts-1,20,25,59
/docs/g2-buyer-intent-salesforce-tab,20,20,51
/g2/docs/hubspot-webhook,20,7,31
/docs/example-task-assign-a-task-to-salesforce-account-owners-for-newly-mapped-accounts,19,23,41
/docs/g2-buyer-intent-data-and-6sense,19,8,51
